                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.8249,                  1.304,                 2.1989,                0.91787,                  0.834,                0.93346,                0.44481,                 1.7615,                 1.7426,                 2.3923,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.7998,                 1.2933,                 2.1831,                0.72944,                 0.8048,                0.81521,                 0.4144,                 1.7224,                 3.0378,                 2.3569,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.8517,                 1.4186,                 2.3108,                0.86886,                0.89552,                0.92008,                0.45799,                 1.6911,                 1.5331,                 2.3372,               0.001307,               0.001307,               0.001307
                     38,                 1.7847,                 1.3402,                 2.2007,                0.98332,                0.88003,                0.95082,                0.51342,                 1.6614,                 1.3597,                 2.3602,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.7776,                 1.2654,                  2.204,                0.76361,                0.86785,                0.89093,                0.47384,                 1.7507,                 1.4942,                 2.4779,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.7572,                 1.3343,                 2.1975,                0.90622,                0.62687,                0.81559,                0.43995,                 1.6038,                 1.6651,                 2.3508,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.7052,                 1.2085,                 2.1628,                0.96401,                0.83582,                0.94307,                0.52245,                 1.5315,                 1.4249,                 2.2474,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.7634,                 1.2425,                 2.1209,                0.82612,                0.83582,                0.92197,                0.47631,                 1.5696,                  1.328,                 2.2476,               0.001208,               0.001208,               0.001208
                     43,                 1.7096,                 1.2465,                   2.13,                0.85582,                0.88596,                0.91661,                 0.5215,                 1.5941,                 1.4729,                 2.2732,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.7471,                 1.2474,                 2.1134,                0.84298,                0.83582,                0.91197,                0.49187,                 1.6333,                 1.4589,                 2.2857,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.7594,                 1.2598,                  2.203,                0.93689,                0.86567,                0.92986,                0.47926,                 1.6142,                 1.5864,                 2.2355,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.6657,                 1.1749,                 2.0743,                0.90057,                0.91045,                0.92166,                0.48142,                 1.5273,                 1.4601,                 2.1811,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.6683,                 1.2447,                 2.1397,                0.90823,                0.89552,                0.90513,                0.48947,                 1.5295,                 1.5845,                 2.2162,               0.001109,               0.001109,               0.001109
                     48,                 1.5781,                 1.0912,                 1.9987,                0.86032,                 0.8209,                0.90338,                0.50275,                 1.5616,                 1.5399,                 2.2203,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.7366,                 1.2265,                 2.0962,                0.88606,                0.81251,                0.91105,                0.49382,                  1.582,                 1.7814,                 2.2388,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.6475,                 1.1079,                  2.044,                 0.9315,                0.81197,                0.92076,                0.42979,                 1.6587,                 1.8155,                 2.2606,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.5974,                 1.1021,                 2.0181,                0.87048,                0.86567,                0.92789,                 0.4495,                  1.618,                 1.4492,                 2.2424,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.6255,                 1.0972,                 2.0593,                0.94958,                 0.8433,                0.92406,                0.49711,                 1.5068,                 1.5944,                 2.2183,                0.00101,                0.00101,                0.00101
                     53,                  1.589,                 1.1345,                 2.0339,                0.84975,                0.84418,                0.88748,                0.47054,                 1.6051,                 1.6684,                 2.2582,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.6353,                 1.0739,                 2.0242,                0.92895,                0.86567,                 0.9197,                0.43472,                 1.6584,                 1.3446,                 2.2353,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.6116,                 1.0147,                 2.0356,                0.96767,                0.89338,                0.93036,                0.51384,                  1.581,                 1.3334,                 2.2066,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.6257,                 1.0663,                 2.0095,                 0.9371,                0.88952,                0.93408,                0.52326,                 1.5582,                  1.427,                 2.2222,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.6582,                 1.0694,                 2.0802,                0.99289,                0.89552,                0.97261,                0.54473,                 1.4892,                 1.2225,                 2.1243,               0.000911,               0.000911,               0.000911
                     58,                 1.6687,                 1.1234,                 2.0674,                0.93471,                0.85474,                0.93833,                 0.4946,                 1.6304,                 1.4689,                 2.2954,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.5499,                 1.0286,                 1.9884,                      1,                0.76952,                0.91634,                0.48784,                 1.6416,                 1.6687,                 2.3467,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.5897,                0.99865,                 1.9844,                0.98155,                 0.8806,                0.94411,                0.47758,                 1.7151,                 1.4948,                 2.4009,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.6154,                  1.006,                 1.9856,                 0.9209,                0.92537,                0.95195,                0.54078,                 1.5894,                 1.3545,                 2.2602,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.6455,                 1.0331,                 2.0415,                0.98154,                0.89552,                0.95707,                0.50192,                 1.5101,                  1.207,                 2.1584,               0.000812,               0.000812,               0.000812
                     63,                 1.5853,                 1.0164,                 2.0166,                0.97503,                0.92537,                0.97329,                0.51615,                 1.4605,                 1.1321,                 2.1084,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.6351,                0.94933,                 2.0328,                      1,                0.91919,                0.96734,                  0.565,                 1.3759,                 1.1234,                 2.0224,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.5578,                 1.0037,                 1.9882,                0.99647,                0.92537,                0.96991,                0.57415,                 1.3961,                 1.1924,                 2.0275,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.6108,                 1.0364,                 1.9699,                0.95106,                0.89552,                0.96091,                0.52557,                 1.4674,                 1.2688,                 2.0972,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.5857,                 1.0576,                 1.9751,                0.96668,                0.92537,                0.96272,                0.50239,                 1.4784,                 1.2477,                 2.1371,               0.000713,               0.000713,               0.000713
                     68,                 1.5449,                 0.9801,                  1.971,                  0.991,                0.91045,                0.97291,                0.52558,                 1.4977,                 1.1261,                 2.1796,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.5607,                0.99908,                 2.0299,                0.97519,                0.91045,                0.97826,                 0.5525,                 1.4957,                 1.0628,                 2.1243,              0.0006734,              0.0006734,              0.0006734
                     70,                  1.527,                0.94636,                  1.948,                0.96865,                0.92249,                0.96678,                0.51689,                    1.5,                 1.1052,                 2.1018,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.5585,                0.95448,                 1.9423,                0.98395,                0.91516,                0.95657,                0.49246,                 1.4985,                  1.145,                 2.1114,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.5969,                 1.0757,                 2.0634,                 0.9816,                0.91045,                0.95401,                0.55343,                 1.4119,                 1.1134,                 2.0536,               0.000614,               0.000614,               0.000614
                     73,                  1.516,                0.98568,                 2.0078,                 0.9933,                0.91045,                0.95763,                0.53498,                 1.4502,                 1.1206,                 2.0713,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.4626,                 0.9313,                 1.9148,                0.99757,                0.91045,                0.96253,                0.53933,                 1.4634,                 1.0893,                 2.0668,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.5714,                0.94828,                 2.0074,                0.96905,                0.93464,                0.96923,                0.55895,                 1.5475,                  1.037,                 2.1236,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.6182,                0.95618,                 2.0416,                0.95476,                0.94492,                0.97828,                0.55244,                 1.5388,                 1.0237,                 2.1373,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.5301,                0.97349,                 1.9495,                0.97836,                 0.9403,                0.98131,                0.57075,                 1.4087,                 1.0552,                 2.0301,               0.000515,               0.000515,               0.000515
                     78,                 1.5004,                0.92314,                 1.9187,                0.97263,                 0.9403,                0.97945,                0.55398,                 1.4241,                  1.119,                 2.0455,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.4885,                0.93751,                 1.9347,                0.98436,                0.93927,                 0.9805,                0.58001,                 1.3983,                 1.0688,                 2.0453,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.4911,                0.94603,                 1.9714,                 0.9906,                0.91045,                0.98074,                0.55831,                 1.3989,                 1.0408,                 2.0376,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.5112,                0.95212,                 1.9295,                      1,                0.92438,                0.97704,                0.54785,                 1.4034,                 1.0574,                 2.0295,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.4869,                0.98088,                 1.9056,                      1,                0.92265,                0.97163,                0.54848,                 1.4289,                 1.1647,                 2.0664,               0.000416,               0.000416,               0.000416
                     83,                 1.4466,                0.88114,                 1.9028,                0.99296,                0.92537,                0.96973,                0.55656,                 1.4329,                 1.1682,                  2.072,              0.0003962,              0.0003962,              0.0003962
